<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.FIXP:TQBR,D,20210412,000000,718.0000000,735.5000000,718.0000000,735.3000000,187464
MOEX.FIXP:TQBR,D,20210413,000000,735.5000000,739.5000000,728.0000000,731.1000000,128536
MOEX.FIXP:TQBR,D,20210414,000000,735.0000000,738.0000000,715.1000000,725.0000000,101958
MOEX.FIXP:TQBR,D,20210415,000000,730.0000000,741.0000000,728.2000000,730.9000000,158744
MOEX.FIXP:TQBR,D,20210416,000000,735.0000000,741.0000000,720.2000000,727.9000000,242508
MOEX.FIXP:TQBR,D,20210419,000000,730.3000000,740.9000000,723.5000000,732.6000000,140263
MOEX.FIXP:TQBR,D,20210420,000000,738.0000000,740.0000000,727.0000000,738.0000000,161675
MOEX.FIXP:TQBR,D,20210421,000000,738.0000000,741.5000000,727.5000000,733.0000000,157278
MOEX.FIXP:TQBR,D,20210422,000000,738.6000000,738.6000000,722.2000000,730.0000000,138426
MOEX.FIXP:TQBR,D,20210423,000000,733.0000000,733.0000000,716.2000000,717.0000000,140001
MOEX.FIXP:TQBR,D,20210426,000000,717.3000000,723.0000000,710.0000000,713.8000000,121546
MOEX.FIXP:TQBR,D,20210427,000000,715.3000000,719.9000000,705.1000000,710.3000000,254797
MOEX.FIXP:TQBR,D,20210428,000000,710.5000000,716.0000000,706.0000000,706.0000000,264292
MOEX.FIXP:TQBR,D,20210429,000000,707.2000000,718.8000000,690.2000000,707.9000000,353207
MOEX.FIXP:TQBR,D,20210430,000000,708.0000000,714.5000000,704.0000000,704.1000000,275636
MOEX.FIXP:TQBR,D,20210504,000000,710.0000000,710.0000000,703.0000000,703.0000000,445894
MOEX.FIXP:TQBR,D,20210505,000000,705.0000000,705.0000000,702.0000000,702.9000000,282564
MOEX.FIXP:TQBR,D,20210506,000000,702.0000000,703.0000000,695.0000000,698.2000000,664420
MOEX.FIXP:TQBR,D,20210507,000000,700.0000000,700.0000000,690.0000000,691.4000000,380018
MOEX.FIXP:TQBR,D,20210510,000000,692.0000000,709.6000000,690.5000000,708.4000000,71804
MOEX.FIXP:TQBR,D,20210511,000000,706.2000000,709.0000000,697.0000000,699.2000000,61627
MOEX.FIXP:TQBR,D,20210512,000000,702.9000000,705.0000000,691.0000000,699.3000000,95797
MOEX.FIXP:TQBR,D,20210513,000000,702.1000000,702.9000000,679.0000000,679.2000000,701317
MOEX.FIXP:TQBR,D,20210514,000000,685.0000000,690.9000000,678.7000000,685.9000000,66773
MOEX.FIXP:TQBR,D,20210517,000000,685.9000000,692.0000000,675.0000000,675.0000000,252814
MOEX.FIXP:TQBR,D,20210518,000000,675.4000000,683.8000000,675.1000000,682.0000000,46166
MOEX.FIXP:TQBR,D,20210519,000000,684.5000000,701.0000000,675.0000000,684.6000000,180547
MOEX.FIXP:TQBR,D,20210520,000000,685.8000000,687.5000000,660.1000000,662.4000000,93674
MOEX.FIXP:TQBR,D,20210521,000000,667.0000000,676.0000000,646.0000000,663.7000000,126358
MOEX.FIXP:TQBR,D,20210524,000000,660.3000000,672.3000000,651.0000000,664.4000000,56462
MOEX.FIXP:TQBR,D,20210525,000000,668.0000000,677.0000000,652.1000000,653.2000000,88616
MOEX.FIXP:TQBR,D,20210526,000000,653.3000000,653.5000000,635.0000000,640.0000000,122995
MOEX.FIXP:TQBR,D,20210527,000000,643.4000000,644.8000000,609.5000000,612.0000000,137465
MOEX.FIXP:TQBR,D,20210528,000000,619.2000000,622.0000000,589.0000000,598.0000000,195507
MOEX.FIXP:TQBR,D,20210531,000000,600.0000000,643.6000000,600.0000000,622.7000000,156986
MOEX.FIXP:TQBR,D,20210601,000000,632.9000000,633.3000000,610.2000000,623.5000000,114543
MOEX.FIXP:TQBR,D,20210602,000000,627.8000000,630.5000000,623.7000000,629.5000000,43955
MOEX.FIXP:TQBR,D,20210603,000000,625.4000000,655.0000000,625.4000000,642.5000000,192226
MOEX.FIXP:TQBR,D,20210604,000000,642.5000000,653.9000000,627.5000000,628.6000000,135789
MOEX.FIXP:TQBR,D,20210607,000000,633.9000000,633.9000000,624.0000000,625.0000000,66795
MOEX.FIXP:TQBR,D,20210608,000000,626.7000000,626.7000000,613.9000000,613.9000000,51190
MOEX.FIXP:TQBR,D,20210609,000000,628.3000000,628.3000000,615.6000000,619.0000000,121545
MOEX.FIXP:TQBR,D,20210610,000000,620.0000000,624.0000000,615.1000000,618.2000000,50770
MOEX.FIXP:TQBR,D,20210611,000000,618.2000000,623.9000000,615.9000000,616.0000000,57982
MOEX.FIXP:TQBR,D,20210614,000000,620.5000000,620.5000000,610.0000000,613.1000000,39550
MOEX.FIXP:TQBR,D,20210615,000000,614.2000000,627.0000000,610.0000000,612.7000000,53737
MOEX.FIXP:TQBR,D,20210616,000000,612.1000000,616.2000000,610.0000000,610.7000000,70303
MOEX.FIXP:TQBR,D,20210617,000000,614.0000000,664.2000000,610.6000000,664.2000000,199758
MOEX.FIXP:TQBR,D,20210618,000000,664.0000000,664.0000000,633.3000000,659.0000000,185191
MOEX.FIXP:TQBR,D,20210621,000000,653.2000000,667.5000000,641.5000000,667.3000000,126546
MOEX.FIXP:TQBR,D,20210622,000000,667.3000000,671.0000000,660.0000000,668.8000000,63027
MOEX.FIXP:TQBR,D,20210623,000000,668.8000000,676.3000000,662.8000000,675.1000000,125624
MOEX.FIXP:TQBR,D,20210624,000000,674.1000000,680.7000000,662.0000000,671.4000000,115557
MOEX.FIXP:TQBR,D,20210625,000000,673.0000000,678.5000000,653.3000000,662.2000000,100881
MOEX.FIXP:TQBR,D,20210628,000000,662.3000000,666.4000000,651.0000000,665.9000000,111287
MOEX.FIXP:TQBR,D,20210629,000000,662.2000000,662.8000000,641.0000000,649.0000000,76967
MOEX.FIXP:TQBR,D,20210630,000000,660.0000000,660.0000000,632.0000000,637.0000000,92268
MOEX.FIXP:TQBR,D,20210701,000000,636.9000000,660.0000000,636.9000000,645.5000000,64397
MOEX.FIXP:TQBR,D,20210702,000000,648.3000000,654.7000000,641.3000000,649.0000000,77342
MOEX.FIXP:TQBR,D,20210705,000000,653.0000000,653.9000000,633.6000000,643.1000000,72330
MOEX.FIXP:TQBR,D,20210706,000000,643.4000000,650.4000000,635.1000000,637.8000000,103294
MOEX.FIXP:TQBR,D,20210707,000000,642.4000000,650.0000000,633.0000000,637.6000000,65235
MOEX.FIXP:TQBR,D,20210708,000000,636.1000000,640.0000000,618.1000000,628.0000000,113452
MOEX.FIXP:TQBR,D,20210709,000000,635.3000000,639.6000000,626.6000000,633.8000000,41541
MOEX.FIXP:TQBR,D,20210712,000000,630.0000000,650.0000000,623.1000000,648.1000000,119317
MOEX.FIXP:TQBR,D,20210713,000000,644.7000000,648.3000000,629.0000000,632.1000000,82915
