<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.GLTR:TQBR,D,20210329,000000,509.0000000,511.8000000,500.0000000,507.0000000,270960
MOEX.GLTR:TQBR,D,20210330,000000,507.9000000,509.0000000,502.0000000,504.8500000,147240
MOEX.GLTR:TQBR,D,20210331,000000,507.4500000,507.4500000,500.5000000,505.9500000,179340
MOEX.GLTR:TQBR,D,20210401,000000,505.9000000,506.0000000,501.0000000,505.8000000,157760
MOEX.GLTR:TQBR,D,20210402,000000,505.0000000,508.1000000,503.2000000,507.6500000,75180
MOEX.GLTR:TQBR,D,20210405,000000,507.9000000,511.0000000,505.3000000,508.9000000,135560
MOEX.GLTR:TQBR,D,20210406,000000,510.9500000,510.9500000,498.7000000,500.2500000,310560
MOEX.GLTR:TQBR,D,20210407,000000,500.0000000,506.2500000,499.1000000,503.2500000,154270
MOEX.GLTR:TQBR,D,20210408,000000,504.9500000,506.9500000,502.0000000,502.6000000,62470
MOEX.GLTR:TQBR,D,20210409,000000,503.0000000,507.5000000,499.5000000,501.0000000,162410
MOEX.GLTR:TQBR,D,20210412,000000,505.4500000,505.4500000,499.0500000,500.2500000,206590
MOEX.GLTR:TQBR,D,20210413,000000,501.4000000,503.8500000,492.6000000,498.6000000,397710
MOEX.GLTR:TQBR,D,20210414,000000,499.0000000,499.5000000,492.1000000,496.3500000,332050
MOEX.GLTR:TQBR,D,20210415,000000,495.0000000,498.0000000,489.0000000,496.7000000,405120
MOEX.GLTR:TQBR,D,20210416,000000,496.0500000,496.0500000,490.3500000,494.4000000,361320
MOEX.GLTR:TQBR,D,20210419,000000,494.5000000,494.8500000,489.1000000,491.5500000,290330
MOEX.GLTR:TQBR,D,20210420,000000,490.5500000,492.4000000,486.0000000,489.3000000,276580
MOEX.GLTR:TQBR,D,20210421,000000,487.0000000,489.1000000,483.1000000,483.8000000,373620
MOEX.GLTR:TQBR,D,20210422,000000,485.0000000,486.1500000,475.1000000,480.8000000,529540
MOEX.GLTR:TQBR,D,20210423,000000,480.0500000,486.0000000,471.0000000,482.8000000,433760
MOEX.GLTR:TQBR,D,20210426,000000,484.0000000,487.7000000,477.8000000,486.0000000,455740
