<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCSG,D,20201106,000000,2070.0000000,2174.8000000,2050.8000000,2144.8000000,267547
TCSG,D,20201109,000000,2160.0000000,2220.2000000,2111.0000000,2136.0000000,355904
TCSG,D,20201110,000000,2100.6000000,2172.4000000,2100.4000000,2158.4000000,271336
TCSG,D,20201111,000000,2080.4000000,2297.6000000,2070.0000000,2279.0000000,429904
TCSG,D,20201112,000000,2290.0000000,2366.0000000,2210.0000000,2246.8000000,320271
TCSG,D,20201113,000000,2258.6000000,2338.0000000,2252.6000000,2337.6000000,248239
TCSG,D,20201116,000000,2360.0000000,2462.2000000,2273.8000000,2299.8000000,308308
TCSG,D,20201117,000000,2300.0000000,2363.0000000,2252.0000000,2284.4000000,213528
TCSG,D,20201118,000000,2283.0000000,2331.8000000,2265.0000000,2300.0000000,233018
TCSG,D,20201119,000000,2322.8000000,2330.0000000,2260.0000000,2261.0000000,136952
TCSG,D,20201120,000000,2260.0000000,2285.0000000,2226.2000000,2263.0000000,98940
TCSG,D,20201123,000000,2257.0000000,2291.6000000,2165.0000000,2219.4000000,292733
TCSG,D,20201124,000000,2199.8000000,2215.0000000,2170.0000000,2201.2000000,156077
TCSG,D,20201125,000000,2212.6000000,2344.6000000,2174.0000000,2304.6000000,3141131
TCSG,D,20201126,000000,2300.0000000,2304.4000000,2202.8000000,2244.0000000,197513
TCSG,D,20201127,000000,2239.2000000,2319.6000000,2233.4000000,2289.8000000,208050
TCSG,D,20201130,000000,2315.8000000,2361.2000000,2270.0000000,2360.0000000,326674
TCSG,D,20201201,000000,2376.2000000,2395.2000000,2321.6000000,2373.0000000,164073
TCSG,D,20201202,000000,2390.0000000,2489.0000000,2360.2000000,2445.8000000,218229
TCSG,D,20201203,000000,2465.0000000,2473.2000000,2351.0000000,2368.2000000,329053
TCSG,D,20201204,000000,2360.0000000,2447.6000000,2325.0000000,2440.0000000,152327
TCSG,D,20201207,000000,2449.4000000,2451.0000000,2370.8000000,2387.0000000,185600
TCSG,D,20201208,000000,2396.0000000,2400.0000000,2311.4000000,2357.0000000,167916
TCSG,D,20201209,000000,2366.8000000,2503.6000000,2339.2000000,2456.6000000,282823
TCSG,D,20201210,000000,2445.8000000,2493.8000000,2244.0000000,2271.6000000,457260
TCSG,D,20201211,000000,2288.0000000,2359.2000000,2235.4000000,2268.0000000,990121
TCSG,D,20201214,000000,2286.0000000,2330.0000000,2273.8000000,2308.4000000,303720
TCSG,D,20201215,000000,2309.2000000,2398.6000000,2270.0000000,2383.8000000,248318
TCSG,D,20201216,000000,2378.2000000,2448.4000000,2351.4000000,2423.0000000,280474
TCSG,D,20201217,000000,2430.0000000,2479.0000000,2401.0000000,2446.0000000,346303
TCSG,D,20201218,000000,2440.6000000,2469.0000000,2370.2000000,2430.0000000,223737
TCSG,D,20201221,000000,2444.4000000,2451.8000000,2310.0000000,2382.2000000,296793
TCSG,D,20201222,000000,2378.0000000,2420.0000000,2334.2000000,2376.4000000,180403
TCSG,D,20201223,000000,2398.2000000,2398.2000000,2343.2000000,2366.4000000,73313
TCSG,D,20201224,000000,2379.4000000,2396.8000000,2345.0000000,2355.0000000,65467
TCSG,D,20201225,000000,2353.8000000,2362.6000000,2325.2000000,2343.2000000,61523
TCSG,D,20201228,000000,2335.0000000,2370.0000000,2330.4000000,2365.2000000,90224
TCSG,D,20201229,000000,2374.8000000,2399.0000000,2332.6000000,2360.2000000,136617
TCSG,D,20201230,000000,2357.6000000,2406.0000000,2342.0000000,2360.4000000,150406
TCSG,D,20210104,000000,2398.6000000,2515.8000000,2376.2000000,2473.0000000,301681
TCSG,D,20210105,000000,2462.0000000,2514.0000000,2420.4000000,2454.0000000,229705
TCSG,D,20210106,000000,2431.0000000,2499.0000000,2425.0000000,2469.8000000,213323
TCSG,D,20210108,000000,2598.8000000,2954.8000000,2566.0000000,2925.0000000,796113
TCSG,D,20210111,000000,2899.8000000,3112.0000000,2855.2000000,2970.0000000,756947
TCSG,D,20210112,000000,2979.8000000,2989.8000000,2808.0000000,2912.2000000,426354
TCSG,D,20210113,000000,2912.4000000,2955.4000000,2844.8000000,2882.0000000,168398
TCSG,D,20210114,000000,2879.8000000,3048.0000000,2858.4000000,3008.2000000,331577
TCSG,D,20210115,000000,3015.4000000,3384.8000000,2980.6000000,3250.0000000,682270
TCSG,D,20210118,000000,3289.8000000,3564.0000000,3165.8000000,3449.8000000,911904
TCSG,D,20210119,000000,3451.0000000,3511.6000000,3203.0000000,3256.2000000,739114
TCSG,D,20210120,000000,3267.6000000,3367.0000000,3106.0000000,3171.4000000,951808
TCSG,D,20210121,000000,3158.4000000,3167.8000000,2935.0000000,3000.0000000,803340
TCSG,D,20210122,000000,2980.0000000,3105.0000000,2942.0000000,3065.0000000,543591
TCSG,D,20210125,000000,3096.0000000,3189.6000000,3012.0000000,3112.0000000,605308
TCSG,D,20210126,000000,3124.4000000,3140.0000000,3013.8000000,3049.8000000,572926
TCSG,D,20210127,000000,3055.6000000,3074.4000000,2952.0000000,3023.4000000,333541
TCSG,D,20210128,000000,3000.0000000,3085.2000000,2884.6000000,3053.2000000,329491
TCSG,D,20210129,000000,3031.2000000,3145.0000000,3014.0000000,3090.8000000,438631
TCSG,D,20210201,000000,3090.8000000,3255.0000000,3060.2000000,3243.0000000,401915
TCSG,D,20210202,000000,3275.0000000,3304.6000000,3170.0000000,3223.6000000,297520
TCSG,D,20210203,000000,3225.0000000,3248.4000000,3194.6000000,3223.4000000,167573
TCSG,D,20210204,000000,3230.0000000,3250.0000000,3137.0000000,3199.2000000,256393
TCSG,D,20210205,000000,3195.6000000,3278.6000000,3174.0000000,3254.8000000,252039
TCSG,D,20210208,000000,3264.2000000,3409.6000000,3260.0000000,3400.0000000,394458
TCSG,D,20210209,000000,3400.4000000,3495.0000000,3300.2000000,3474.6000000,670981
TCSG,D,20210210,000000,3578.8000000,3691.0000000,3511.0000000,3594.6000000,1677714
TCSG,D,20210211,000000,3627.4000000,3628.0000000,3503.8000000,3530.6000000,495159
