<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.VKCO:TQBR,D,20200827,000000,2348.0000000,2448.0000000,2304.0000000,2335.2000000,1023040
MOEX.VKCO:TQBR,D,20200828,000000,2340.0000000,2359.0000000,2262.8000000,2299.0000000,599807
MOEX.VKCO:TQBR,D,20200831,000000,2314.2000000,2364.8000000,2304.8000000,2350.0000000,365700
MOEX.VKCO:TQBR,D,20200901,000000,2364.8000000,2415.8000000,2341.0000000,2390.0000000,526733
MOEX.VKCO:TQBR,D,20200902,000000,2403.4000000,2418.0000000,2310.8000000,2316.8000000,447650
MOEX.VKCO:TQBR,D,20200903,000000,2321.0000000,2375.0000000,2230.0000000,2268.0000000,524341
MOEX.VKCO:TQBR,D,20200904,000000,2255.6000000,2310.0000000,2160.0000000,2200.0000000,686244
MOEX.VKCO:TQBR,D,20200907,000000,2220.0000000,2223.6000000,2169.8000000,2182.2000000,287688
MOEX.VKCO:TQBR,D,20200908,000000,2200.0000000,2205.0000000,2069.2000000,2110.2000000,574521
MOEX.VKCO:TQBR,D,20200909,000000,2106.6000000,2170.0000000,2072.4000000,2143.0000000,371264
MOEX.VKCO:TQBR,D,20200910,000000,2169.0000000,2181.2000000,2117.0000000,2138.2000000,280920
MOEX.VKCO:TQBR,D,20200911,000000,2145.2000000,2155.6000000,2120.0000000,2129.0000000,252689
MOEX.VKCO:TQBR,D,20200914,000000,2141.8000000,2247.0000000,2136.2000000,2210.0000000,460891
MOEX.VKCO:TQBR,D,20200915,000000,2237.4000000,2288.0000000,2211.6000000,2228.8000000,414885
MOEX.VKCO:TQBR,D,20200916,000000,2235.0000000,2259.8000000,2166.0000000,2177.0000000,490152
MOEX.VKCO:TQBR,D,20200917,000000,2160.0000000,2222.0000000,2134.0000000,2222.0000000,657544
MOEX.VKCO:TQBR,D,20200918,000000,2192.0000000,2224.0000000,2172.4000000,2220.0000000,347154
MOEX.VKCO:TQBR,D,20200921,000000,2222.0000000,2238.0000000,2170.2000000,2202.4000000,413107
MOEX.VKCO:TQBR,D,20200922,000000,2202.2000000,2357.6000000,2188.0000000,2307.2000000,875397
MOEX.VKCO:TQBR,D,20200923,000000,2350.2000000,2439.8000000,2206.2000000,2325.2000000,1844103
MOEX.VKCO:TQBR,D,20200924,000000,2296.8000000,2296.8000000,2179.0000000,2216.6000000,2175024
MOEX.VKCO:TQBR,D,20200925,000000,2227.0000000,2229.4000000,2163.0000000,2200.0000000,692691
MOEX.VKCO:TQBR,D,20200928,000000,2183.0000000,2240.0000000,2170.0000000,2210.0000000,797180
MOEX.VKCO:TQBR,D,20200929,000000,2218.0000000,2219.4000000,2135.0000000,2156.2000000,1012171
MOEX.VKCO:TQBR,D,20200930,000000,2143.0000000,2147.4000000,2115.0000000,2135.0000000,833900
